County,2020 Median,2021 Median,2022 Median,2023 Median,Median Home Price (2023)
"Shelby County, Indiana",169600,185000,210000,238500,238500
"Spencer County, Indiana",136500,145000,159000,169800,169800
"Starke County, Indiana",131000,145000,159000,169800,169800
"Steuben County, Indiana",159950,175000,215000,230000,230000
"Sullivan County, Indiana",131000,145000,159000,169800,169800
"Switzerland County, Indiana",131000,145000,159000,169800,169800
"Tippecanoe County, Indiana",158000,170000,190000,215000,215000
"Tipton County, Indiana",135900,145000,159000,169800,169800
"Union County, Indiana",131000,145000,159000,169800,169800
"Vanderburgh County, Indiana",145000,155000,173325,183500,183500
"Vermillion County, Indiana",131000,145000,159000,169800,169800
"Vigo County, Indiana",131000,145000,159000,169800,169800
"Wabash County, Indiana",131000,145000,159000,169800,169800
"Warren County, Indiana",138000,145000,159000,169800,169800
"Warrick County, Indiana",184900,185000,220000,239900,239900
"Washington County, Indiana",131000,145000,159000,169800,169800
"Wayne County, Indiana",131000,145000,159000,169800,169800
"Wells County, Indiana",134900,145000,159000,169800,169800
"White County, Indiana",141000,155000,180000,191500,191500
"Whitley County, Indiana",155000,163000,169000,180000,180000
"Adair County, Iowa",127500,139000,150000,156000,156000
"Adams County, Iowa",127500,139000,150000,156000,156000
"Allamakee County, Iowa",147500,155000,159000,160000,160000
"Appanoose County, Iowa",127500,139000,150000,156000,156000
"Audubon County, Iowa",127500,139000,150000,156000,156000
"Benton County, Iowa",162000,167000,175000,180000,180000
"Black Hawk County, Iowa",155000,158000,167200,170000,170000
"Boone County, Iowa",144650,152500,165000,170000,170000
"Bremer County, Iowa",169700,172000,172750,175000,175000
"Buchanan County, Iowa",135000,140000,150000,157000,157000
"Buena Vista County, Iowa",127500,139000,150000,158000,158000
"Butler County, Iowa",127500,139000,150000,156000,156000
"Calhoun County, Iowa",127500,139000,150000,156000,156000
"Carroll County, Iowa",133000,139000,150000,156000,156000
"Cass County, Iowa",127500,139000,150000,156000,156000
"Cedar County, Iowa",154900,161000,168000,170000,170000
"Cerro Gordo County, Iowa",128000,139000,150000,156000,156000
"Cherokee County, Iowa",127500,139000,150000,156000,156000
"Chickasaw County, Iowa",127500,139000,150000,156000,156000
"Clarke County, Iowa",127500,139000,150000,156000,156000
"Clay County, Iowa",140000,140000,150000,156000,156000
"Clayton County, Iowa",127500,139000,150000,156000,156000
"Clinton County, Iowa",127500,139000,150000,156000,156000
"Crawford County, Iowa",127500,139000,150000,156000,156000
"Dallas County, Iowa",270000,270842.5,296397.5,320000,320000
"Davis County, Iowa",127500,139000,150000,156000,156000
"Decatur County, Iowa",127500,139000,150000,156000,156000
"Delaware County, Iowa",140000,146600,155000,175000,175000
"Des Moines County, Iowa",127500,139000,150000,156000,156000
"Dickinson County, Iowa",207500,222500,244000,270000,270000
"Dubuque County, Iowa",165000,175000,191000,200000,200000
"Emmet County, Iowa",127500,139000,150000,156000,156000
"Fayette County, Iowa",127500,139000,150000,156000,156000
"Floyd County, Iowa",127500,139000,150000,156000,156000
"Franklin County, Iowa",127500,139000,150000,156000,156000
"Fremont County, Iowa",127500,139000,150000,156000,156000
"Greene County, Iowa",127500,139000,150000,156000,156000
"Grundy County, Iowa",154770,156000,167000,170000,170000
"Guthrie County, Iowa",200695,215000,237500,249900,249900
"Hamilton County, Iowa",127500,139000,150000,156000,156000
"Hancock County, Iowa",129950,139000,150000,156000,156000
"Hardin County, Iowa",127500,139000,150000,156000,156000
"Harrison County, Iowa",179900,189000,212500,236000,236000
"Henry County, Iowa",128500,139000,150000,156000,156000
"Howard County, Iowa",127500,139000,150000,156000,156000
"Humboldt County, Iowa",127500,139000,150000,156000,156000
"Ida County, Iowa",127500,139000,150000,156000,156000
"Iowa County, Iowa",158500,161000,167500,170500,170500
"Jackson County, Iowa",127500,139000,150000,156000,156000
"Jasper County, Iowa",134000,154950,164950,165000,165000
"Jefferson County, Iowa",129000,139000,150000,156000,156000
"Johnson County, Iowa",249000,260000,272500,285000,285000
"Jones County, Iowa",150950,151950,158250,165000,165000
"Keokuk County, Iowa",127500,139000,150000,156000,156000
"Kossuth County, Iowa",127500,139000,150000,156000,156000
"Lee County, Iowa",127500,139000,150000,156000,156000
"Linn County, Iowa",175000,188000,205000,202750,202750
"Louisa County, Iowa",127500,139000,150000,156000,156000
"Lucas County, Iowa",127500,139000,150000,156000,156000
"Lyon County, Iowa",137000,140500,150000,163000,163000
"Madison County, Iowa",200695,215000,237500,249900,249900
"Mahaska County, Iowa",127500,139000,150000,156000,156000
"Marion County, Iowa",175750,186250,199500,217500,217500
"Marshall County, Iowa",127500,139000,150000,156000,156000
"Mills County, Iowa",179900,189000,212500,236000,236000
"Mitchell County, Iowa",127500,139000,150000,156000,156000
"Monona County, Iowa",127500,139000,150000,156000,156000
"Monroe County, Iowa",127500,139000,150000,156000,156000
"Montgomery County, Iowa",127500,139000,150000,156000,156000
"Muscatine County, Iowa",131500,139000,150000,156000,156000
"O'Brien County, Iowa",127500,139000,150000,156000,156000
"Osceola County, Iowa",127500,139000,150000,156000,156000
"Page County, Iowa",127500,139000,150000,156000,156000
"Palo Alto County, Iowa",127500,139000,150000,156000,156000
"Plymouth County, Iowa",169450,177000,194000,205000,205000
"Pocahontas County, Iowa",127500,139000,150000,156000,156000
"Polk County, Iowa",200695,215000,237500,249900,249900
"Pottawattamie County, Iowa",179900,189000,212500,236000,236000
"Poweshiek County, Iowa",155000,155000,159000,169000,169000
"Ringgold County, Iowa",127500,139000,150000,156000,156000
"Sac County, Iowa",127500,139000,150000,156000,156000
"Scott County, Iowa",162000,171500,200000,195050,195050
"Shelby County, Iowa",127500,139000,150000,156000,156000
"Sioux County, Iowa",169500,175000,194450,200000,200000
"Story County, Iowa",195000,212000,223700,245000,245000
"Tama County, Iowa",127500,139000,150000,156000,156000
"Taylor County, Iowa",127500,139000,150000,156000,156000
"Union County, Iowa",127500,139000,150000,156000,156000
"Van Buren County, Iowa",127500,139000,150000,156000,156000
"Wapello County, Iowa",127500,139000,150000,156000,156000
"Warren County, Iowa",207000,216750,247310,251530,251530
"Washington County, Iowa",159000,167000,180000,189000,189000
"Wayne County, Iowa",127500,139000,150000,156000,156000
"Webster County, Iowa",127500,139000,150000,156000,156000
"Winnebago County, Iowa",127500,139000,150000,156000,156000
"Winneshiek County, Iowa",166225,175000,189100,200867,200867
"Woodbury County, Iowa",148000,158500,179000,195000,195000
"Worth County, Iowa",127500,139000,150000,156000,156000
"Wright County, Iowa",127500,139000,150000,156000,156000
"Allen County, Kansas",123000,130000,140000,150000,150000
"Anderson County, Kansas",123000,130000,140000,150000,150000
"Atchison County, Kansas",123000,130000,140000,150000,150000
"Barber County, Kansas",123000,130000,140000,150000,150000
"Barton County, Kansas",123000,130000,140000,150000,150000
"Bourbon County, Kansas",123000,130000,140000,150000,150000
"Brown County, Kansas",123000,130000,140000,150000,150000
"Butler County, Kansas",137250,144950,160000,170000,170000
"Chase County, Kansas",123000,130000,140000,150000,150000
"Chautauqua County, Kansas",123000,130000,140000,150000,150000
"Cherokee County, Kansas",123000,130000,140000,150000,150000
"Cheyenne County, Kansas",123000,130000,140000,150000,150000
"Clark County, Kansas",123000,130000,140000,150000,150000
"Clay County, Kansas",123000,130000,140000,150000,150000
"Cloud County, Kansas",123000,130000,140000,150000,150000
"Coffey County, Kansas",123000,130000,140000,150000,150000
"Comanche County, Kansas",123000,130000,140000,150000,150000
"Cowley County, Kansas",123000,130000,140000,150000,150000
"Crawford County, Kansas",123000,130000,140000,150000,150000
"Decatur County, Kansas",123000,130000,140000,150000,150000
"Dickinson County, Kansas",123000,130000,140000,150000,150000
"Doniphan County, Kansas",126600,132000,145000,157500,157500
"Douglas County, Kansas",200000,219900,245000,270000,270000
"Edwards County, Kansas",123000,130000,140000,150000,150000
"Elk County, Kansas",123000,130000,140000,150000,150000
"Ellis County, Kansas",161000,163000,171750,177750,177750
"Ellsworth County, Kansas",123000,130000,140000,150000,150000
"Finney County, Kansas",170000,173000,195000,220000,220000
"Ford County, Kansas",143000,154900,160000,170500,170500
"Franklin County, Kansas",141000,150000,165000,185000,185000
"Geary County, Kansas",123000,130000,140000,150000,150000
"Gove County, Kansas",123000,130000,140000,150000,150000
"Graham County, Kansas",125000,130000,140000,150000,150000
"Grant County, Kansas",126750,130000,140000,150000,150000
"Gray County, Kansas",136542,146000,156000,163500,163500
"Greeley County, Kansas",123000,130000,140000,150000,150000
"Greenwood County, Kansas",123000,130000,140000,150000,150000
"Hamilton County, Kansas",123000,130000,140000,150000,150000
"Harper County, Kansas",123000,130000,140000,150000,150000
"Harvey County, Kansas",135000,144500,160000,170000,170000
"Haskell County, Kansas",125000,130000,140000,150000,150000
"Hodgeman County, Kansas",123000,130000,140000,150000,150000
"Jackson County, Kansas",137500,150000,164000,175000,175000
"Jefferson County, Kansas",151250,157000,164000,175000,175000
"Jewell County, Kansas",123000,130000,140000,150000,150000
"Johnson County, Kansas",225000,240000,265000,300000,300000
"Kearny County, Kansas",129000,130000,140000,155000,155000
"Kingman County, Kansas",123000,130000,140000,150000,150000
"Kiowa County, Kansas",123000,130000,140000,150000,150000
"Labette County, Kansas",123000,130000,140000,150000,150000
"Lane County, Kansas",123000,130000,140000,150000,150000
"Leavenworth County, Kansas",177000,205000,230000,250000,250000
"Lincoln County, Kansas",129000,130000,140000,150000,150000
"Linn County, Kansas",177000,189500,219500,240000,240000
"Logan County, Kansas",123000,130000,140000,150000,150000
"Lyon County, Kansas",123000,130000,140000,150000,150000
"McPherson County, Kansas",143000,147000,156000,159947.5,159947.5
"Marion County, Kansas",123000,130000,140000,150000,150000
"Marshall County, Kansas",123000,130000,140000,150000,150000
"Meade County, Kansas",123000,130000,140000,150000,150000
"Miami County, Kansas",209975,230000,247000,265000,265000
"Mitchell County, Kansas",123000,130000,140000,150000,150000
"Montgomery County, Kansas",123000,130000,140000,150000,150000
"Morris County, Kansas",123000,130000,140000,150000,150000
"Morton County, Kansas",123000,130000,140000,150000,150000
"Nemaha County, Kansas",123000,130000,140000,150000,150000
"Neosho County, Kansas",123000,130000,140000,150000,150000
"Ness County, Kansas",123000,130000,140000,150000,150000
"Norton County, Kansas",123000,130000,140000,150000,150000
"Osage County, Kansas",137500,150000,164000,175000,175000
"Osborne County, Kansas",123000,130000,140000,150000,150000
"Ottawa County, Kansas",124770,130000,140000,150000,150000
"Pawnee County, Kansas",123000,130000,140000,150000,150000
"Phillips County, Kansas",123000,130000,140000,150000,150000
"Pottawatomie County, Kansas",199750,208000,210800,218000,218000
"Pratt County, Kansas",123000,130000,140000,150000,150000
"Rawlins County, Kansas",123000,130000,140000,150000,150000
"Reno County, Kansas",123000,130000,140000,150000,150000
"Republic County, Kansas",123000,130000,140000,150000,150000
"Rice County, Kansas",123000,130000,140000,150000,150000
"Riley County, Kansas",190000,192000,198750,218000,218000
"Rooks County, Kansas",123000,130000,140000,150000,150000
"Rush County, Kansas",123000,130000,140000,150000,150000
"Russell County, Kansas",123000,130000,140000,150000,150000
"Saline County, Kansas",133500,141700,154250,155000,155000
"Scott County, Kansas",123000,130000,140000,150000,150000
"Sedgwick County, Kansas",135000,145000,160000,171021.5,171021.5
"Seward County, Kansas",129000,130000,140000,150000,150000
"Shawnee County, Kansas",137500,150000,165000,175000,175000
"Sheridan County, Kansas",123000,130000,140000,150000,150000
"Sherman County, Kansas",123000,130000,140000,150000,150000
"Smith County, Kansas",123000,130000,140000,150000,150000
"Stafford County, Kansas",123000,130000,140000,150000,150000
"Stanton County, Kansas",123000,130000,140000,150000,150000
"Stevens County, Kansas",123000,130000,140000,150000,150000
"Sumner County, Kansas",123000,130000,140000,150000,150000
"Thomas County, Kansas",125000,130000,140000,150000,150000
"Trego County, Kansas",123000,130000,140000,150000,150000
"Wabaunsee County, Kansas",139950,150000,164000,175000,175000
"Wallace County, Kansas",123000,130000,140000,150000,150000
"Washington County, Kansas",123000,130000,140000,150000,150000
"Wichita County, Kansas",123000,130000,140000,150000,150000
"Wilson County, Kansas",123000,130000,140000,150000,150000
"Woodson County, Kansas",123000,130000,140000,150000,150000
"Wyandotte County, Kansas",177000,189500,219500,240000,240000
"Adair County, Kentucky",145000,154900,174900,189000,189000
"Allen County, Kentucky",145000,154900,174900,189000,189000
"Anderson County, Kentucky",159225,164000,174900,195000,195000
"Ballard County, Kentucky",145000,154900,174900,189000,189000
"Barren County, Kentucky",145000,154900,174900,189000,189000
"Bath County, Kentucky",145000,154900,174900,189000,189000
"Bell County, Kentucky",145000,154900,174900,189000,189000
"Boone County, Kentucky",185000,202000,232000,260000,260000
"Bourbon County, Kentucky",181000,195000,217900,240000,240000
"Boyd County, Kentucky",145000,154900,174900,189000,189000
"Boyle County, Kentucky",155000,160000,174900,189000,189000
"Bracken County, Kentucky",165000,179000,205000,225000,225000
"Breathitt County, Kentucky",145000,154900,174900,189000,189000
"Breckinridge County, Kentucky",145000,154900,174900,189000,189000
"Bullitt County, Kentucky",180615,189950,219900,249182.5,249182.5
"Butler County, Kentucky",145000,154900,174900,189000,189000
"Caldwell County, Kentucky",145000,154900,174900,189000,189000
"Calloway County, Kentucky",158000,159500,178250,200000,200000
"Campbell County, Kentucky",167500,183500,209950,229000,229000
"Carlisle County, Kentucky",145000,154900,174900,189000,189000
"Carroll County, Kentucky",145000,154900,174900,189000,189000
"Carter County, Kentucky",145000,154900,174900,189000,189000
"Casey County, Kentucky",145000,154900,174900,189000,189000
"Christian County, Kentucky",160000,170000,200050,250000,250000
"Clark County, Kentucky",181000,195000,217900,240000,240000
"Clay County, Kentucky",145000,154900,174900,189000,189000
"Clinton County, Kentucky",145000,154900,174900,189000,189000
"Crittenden County, Kentucky",145000,154900,174900,189000,189000
"Cumberland County, Kentucky",145000,154900,174900,189000,189000
"Daviess County, Kentucky",145000,154900,174900,189000,189000
"Edmonson County, Kentucky",186700,199900,215000,240000,240000
"Elliott County, Kentucky",145000,154900,174900,189000,189000
"Estill County, Kentucky",145000,154900,174900,189000,189000
"Fayette County, Kentucky",181000,197000,220000,243000,243000
"Fleming County, Kentucky",145000,154900,174900,189000,189000
"Floyd County, Kentucky",145000,154900,174900,189000,189000
"Franklin County, Kentucky",145000,154900,178250,189000,189000
"Fulton County, Kentucky",145000,154900,174900,189000,189000
"Gallatin County, Kentucky",165000,179000,205000,225000,225000
"Garrard County, Kentucky",157500,165000,175000,189000,189000
"Grant County, Kentucky",145000,154900,174900,193249.5,193249.5
"Graves County, Kentucky",145000,154900,174900,189000,189000
"Grayson County, Kentucky",145000,154900,174900,189000,189000
"Green County, Kentucky",145000,154900,174900,189000,189000
"Greenup County, Kentucky",145000,154900,174900,189000,189000
"Hancock County, Kentucky",145000,154900,174900,189000,189000
"Hardin County, Kentucky",150000,179700,185000,214750,214750
"Harlan County, Kentucky",145000,154900,174900,189000,189000
"Harrison County, Kentucky",145000,154900,174900,189000,189000
"Hart County, Kentucky",145000,154900,174900,189000,189000
"Henderson County, Kentucky",145000,155000,174900,189000,189000
"Henry County, Kentucky",173500,185000,205000,225000,225000
"Hickman County, Kentucky",145000,154900,174900,189000,189000
"Hopkins County, Kentucky",145000,154900,174900,189000,189000
"Jackson County, Kentucky",145000,154900,174900,189000,189000
"Jefferson County, Kentucky",173500,185000,205000,225000,225000
"Jessamine County, Kentucky",185000,195000,217900,240000,240000
"Johnson County, Kentucky",149000,154900,174900,189000,189000
"Kenton County, Kentucky",165000,179000,205000,225000,225000
"Knott County, Kentucky",145000,154900,174900,189000,189000
"Knox County, Kentucky",145000,154900,174900,189000,189000
"Larue County, Kentucky",149000,176000,185000,210000,210000
"Laurel County, Kentucky",145000,154900,174900,195000,195000
"Lawrence County, Kentucky",145000,154900,174900,189000,189000
"Lee County, Kentucky",145000,154900,174900,189000,189000
"Leslie County, Kentucky",145000,154900,174900,189000,189000
"Letcher County, Kentucky",145000,154900,174900,189000,189000
"Lewis County, Kentucky",145000,154900,174900,189000,189000
"Lincoln County, Kentucky",145000,154900,174900,189000,189000
"Livingston County, Kentucky",145000,154900,174900,189000,189000
"Logan County, Kentucky",145000,154900,174900,189000,189000
"Lyon County, Kentucky",191500,200000,218000,214000,214000
"McCracken County, Kentucky",150000,157000,182000,192000,192000
"McCreary County, Kentucky",145000,154900,174900,189000,189000
"McLean County, Kentucky",145000,154900,174900,189000,189000
"Madison County, Kentucky",173500,184000,210000,235000,235000
"Magoffin County, Kentucky",145000,154900,174900,189000,189000
"Marion County, Kentucky",145000,154900,174900,189000,189000
"Marshall County, Kentucky",152000,159700,174900,189000,189000
"Martin County, Kentucky",145000,154900,174900,189000,189000
"Mason County, Kentucky",145000,154900,174900,189000,189000
"Meade County, Kentucky",150000,154900,174900,189000,189000
"Menifee County, Kentucky",145000,154900,174900,189000,189000
"Mercer County, Kentucky",145000,154900,174900,189000,189000
"Metcalfe County, Kentucky",145000,154900,174900,189000,189000
"Monroe County, Kentucky",145000,154900,174900,189000,189000
"Montgomery County, Kentucky",145000,154900,174900,189000,189000
"Morgan County, Kentucky",145000,154900,174900,189000,189000
"Muhlenberg County, Kentucky",145000,154900,174900,189000,189000
"Nelson County, Kentucky",163000,172900,190000,217500,217500
"Nicholas County, Kentucky",145000,154900,174900,189000,189000
"Ohio County, Kentucky",145000,154900,174900,189000,189000
"Oldham County, Kentucky",255000,275000,290000,315000,315000
"Owen County, Kentucky",145000,154900,174900,189000,189000
"Owsley County, Kentucky",145000,154900,174900,189000,189000
"Pendleton County, Kentucky",165000,179000,205000,225000,225000
"Perry County, Kentucky",145000,154900,174900,189000,189000
"Pike County, Kentucky",145000,154900,174900,189000,189000
"Powell County, Kentucky",145000,154900,174900,189000,189000
"Pulaski County, Kentucky",145000,154900,174900,189900,189900
"Robertson County, Kentucky",145000,154900,174900,189000,189000
"Rockcastle County, Kentucky",145000,154900,174900,189000,189000
"Rowan County, Kentucky",150000,154900,174900,189000,189000
"Russell County, Kentucky",145000,154900,174900,189000,189000
"Scott County, Kentucky",198535,205000,225000,240000,240000
"Shelby County, Kentucky",194500,205000,226200,250000,250000
"Simpson County, Kentucky",148000,154900,174900,189000,189000
"Spencer County, Kentucky",235000,250000,265000,282574,282574
"Taylor County, Kentucky",145000,154900,174900,189000,189000
"Todd County, Kentucky",145000,154900,174900,189000,189000
"Trigg County, Kentucky",160000,170000,200050,250000,250000
"Trimble County, Kentucky",173500,185000,205000,189000,189000
"Union County, Kentucky",145000,154900,174900,189000,189000
"Warren County, Kentucky",188000,200000,216950,242450,242450
"Washington County, Kentucky",145000,154900,174900,189000,189000
"Wayne County, Kentucky",145000,154900,174900,189000,189000
"Webster County, Kentucky",145000,154900,174900,189000,189000
"Whitley County, Kentucky",145000,154900,174900,189000,189000
"Wolfe County, Kentucky",145000,154900,174900,189000,189000
"Woodford County, Kentucky",209500,222950,238250,245000,245000
"Androscoggin County, Maine",166750,180000,216500,255000,255000
"Aroostook County, Maine",164900,178900,203000,219500,219500
"Cumberland County, Maine",299900,320000,363750,415000,415000
"Franklin County, Maine",164900,178900,203000,219500,219500
"Hancock County, Maine",223000,236750,285714.2813,290000,290000
"Kennebec County, Maine",167500,185000,225000,246000,246000
"Knox County, Maine",226391.0313,230250,255000,290750,290750
"Lincoln County, Maine",207000,220000,285907.25,319426.4688,319426.4688
"Oxford County, Maine",171500,190000,245156.25,250000,250000
"Penobscot County, Maine",164900,178900,203000,230000,230000
"Piscataquis County, Maine",164900,178900,203000,219500,219500
"Sagadahoc County, Maine",219997.5,235000,275000,318000,318000
"Somerset County, Maine",164900,178900,203000,219500,219500
"Waldo County, Maine",175000,181000,223000,256750,256750
"Washington County, Maine",164900,178900,203000,219500,219500
"York County, Maine",288500,300000,350000,400000,400000
"Allegany County, Maryland",164900,178900,203000,219500,219500
"Anne Arundel County, Maryland",319000,330000,367250,390000,390000
"Baltimore County, Maryland",265000,280000,305000,325000,325000
"Calvert County, Maryland",355000,380000,420000,455100,455100
"Caroline County, Maryland",199500,212000,238900,267250,267250
"Carroll County, Maryland",315000,339900,372500,405500,405500
"Cecil County, Maryland",232000,249900,280000,305000,305000
"Charles County, Maryland",355000,380000,420000,455100,455100
"Dorchester County, Maryland",193000,209000,226250,251500,251500
"Frederick County, Maryland",355000,380000,420000,455100,455100
"Garrett County, Maryland",185250,190000,246000,262924,262924
"Harford County, Maryland",265000,280000,312000,345850,345850
"Howard County, Maryland",410000,425000,465000,510000,510000
"Kent County, Maryland",213500,225000,249000,262575,262575
"Montgomery County, Maryland",425000,450000,505000,544552.5,544552.5
"Prince George's County, Maryland",355000,380000,420000,455100,455100
"Queen Anne's County, Maryland",315000,324900,350000,375000,375000
"St. Mary's County, Maryland",270000,295000,330000,340000,340000
"Somerset County, Maryland",164900,178900,203000,219500,219500
"Talbot County, Maryland",281500,300000,342500,355000,355000
"Washington County, Maryland",207000,219210,245500,263250,263250
"Wicomico County, Maryland",164900,180000,203000,225000,225000
"Worcester County, Maryland",255610,267237.5,320000,325000,325000
"Barnstable County, Massachusetts",370000,392000,465000,513888.875,513888.875
"Berkshire County, Massachusetts",191250,209000,273000,260000,260000
"Bristol County, Massachusetts",314000,335000,380000,425000,425000
"Dukes County, Massachusetts",510000,550000,608974.375,689000,689000
"Essex County, Massachusetts",410000,450000,515000,565000,565000
"Franklin County, Massachusetts",204900,218000,240000,267000,267000
"Hampden County, Massachusetts",208150,224500,255000,285000,285000
"Hampshire County, Massachusetts",273000,280000,330000,355000,355000
"Middlesex County, Massachusetts",449900,490000,552225,599000,599000
"Nantucket County, Massachusetts",507500,439000,620000,687775,687775
"Norfolk County, Massachusetts",435000,470000,530000,575000,575000
"Plymouth County, Massachusetts",410000,450000,510000,560000,560000
"Suffolk County, Massachusetts",511500,540000,605000,652450,652450
"Worcester County, Massachusetts",280000,305000,350000,390000,390000
"Alcona County, Michigan",145000,160000,178000,192000,192000
"Alger County, Michigan",145000,160000,178000,192000,192000
"Allegan County, Michigan",193500,211400,240000,265000,265000
"Alpena County, Michigan",145000,160000,178000,192000,192000
"Antrim County, Michigan",166700,182000,242000,250100,250100
"Arenac County, Michigan",145000,160000,178000,192000,192000
"Baraga County, Michigan",145000,160000,178000,192000,192000
"Barry County, Michigan",188900,205000,226348.3125,242636,242636
"Bay County, Michigan",145000,160000,178000,192000,192000
"Benzie County, Michigan",180000,189000,225750,247500,247500
"Berrien County, Michigan",160500,187000,205000,212000,212000
"Branch County, Michigan",145000,160000,178000,192000,192000
"Calhoun County, Michigan",145000,160000,178000,192000,192000
"Cass County, Michigan",162000,169900,202000,201200,201200
"Charlevoix County, Michigan",159000,177000,230000,240000,240000
"Cheboygan County, Michigan",145000,160000,178000,195000,195000
"Chippewa County, Michigan",145000,160000,178000,192000,192000
"Clare County, Michigan",145000,160000,178000,192000,192000
"Clinton County, Michigan",198500,209450,240000,239950,239950
"Crawford County, Michigan",145000,160000,178000,192000,192000
"Delta County, Michigan",145000,160000,178000,192000,192000
"Dickinson County, Michigan",145000,160000,178000,192000,192000
"Eaton County, Michigan",160500,175200,196000,212000,212000
"Emmet County, Michigan",196000,204000,250000,290000,290000
"Genesee County, Michigan",150000,160000,178000,192000,192000
"Gladwin County, Michigan",145000,160000,178000,192000,192000
"Gogebic County, Michigan",145000,160000,178000,192000,192000
"Grand Traverse County, Michigan",225000,245750,295000,319500,319500
"Gratiot County, Michigan",145000,160000,178000,192000,192000
"Hillsdale County, Michigan",145000,160000,178000,192000,192000
"Houghton County, Michigan",145000,160000,178000,192000,192000
"Huron County, Michigan",145000,160000,178000,192000,192000
"Ingham County, Michigan",155000,165000,180106,192000,192000
"Ionia County, Michigan",145000,160000,178000,192000,192000
"Iosco County, Michigan",145000,160000,178000,192000,192000
"Iron County, Michigan",145000,160000,178000,192000,192000
"Isabella County, Michigan",145000,160000,178000,192000,192000
"Jackson County, Michigan",145000,160000,178000,192000,192000
"Kalamazoo County, Michigan",162500,180000,205000,210255,210255
"Kalkaska County, Michigan",145000,160000,178000,192000,192000
"Kent County, Michigan",188000,203000,230000,260000,260000
"Keweenaw County, Michigan",145000,160000,178000,192000,192000
"Lake County, Michigan",145000,160000,178000,192000,192000
"Lapeer County, Michigan",189900,212000,236450,255000,255000
"Leelanau County, Michigan",275000,299000,331250,365000,365000
"Lenawee County, Michigan",145000,160000,178000,192000,192000
"Livingston County, Michigan",265000,275000,308000,339000,339000
"Luce County, Michigan",145000,160000,178000,192000,192000
"Mackinac County, Michigan",145000,160000,178000,192000,192000
"Macomb County, Michigan",181000,193000,216490,229900,229900
"Manistee County, Michigan",145000,160000,178000,192000,192000
"Marquette County, Michigan",160000,175000,190000,200000,200000
"Mason County, Michigan",145000,160000,185000,194450,194450
"Mecosta County, Michigan",145000,160000,178000,192000,192000
"Menominee County, Michigan",145000,160000,178000,192000,192000
"Midland County, Michigan",149000,160000,178000,192000,192000
"Missaukee County, Michigan",145000,160000,178000,192000,192000
"Monroe County, Michigan",170000,180000,192500,215000,215000
"Montcalm County, Michigan",145000,160000,178000,195000,195000
"Montmorency County, Michigan",145000,160000,178000,192000,192000
"Muskegon County, Michigan",145000,160000,178000,192000,192000
"Newaygo County, Michigan",145000,160000,178000,192000,192000
"Oakland County, Michigan",230000,240000,271917.5,288000,288000
"Oceana County, Michigan",145000,160000,178000,192000,192000
"Ogemaw County, Michigan",145000,160000,178000,192000,192000
"Ontonagon County, Michigan",145000,160000,178000,192000,192000
"Osceola County, Michigan",145000,160000,178000,192000,192000
"Oscoda County, Michigan",145000,160000,178000,192000,192000
"Otsego County, Michigan",145000,160000,178000,198000,198000
"Ottawa County, Michigan",218775,234616,265000,300000,300000
"Presque Isle County, Michigan",145000,160000,178000,192000,192000
"Roscommon County, Michigan",145000,160000,178000,192000,192000
"Saginaw County, Michigan",145000,160000,178000,192000,192000
"St. Clair County, Michigan",181000,193000,216490,229900,229900
"St. Joseph County, Michigan",145000,160000,178000,192000,192000
"Sanilac County, Michigan",145000,160000,178000,192000,192000
"Schoolcraft County, Michigan",145000,160000,178000,192000,192000
"Shiawassee County, Michigan",145000,160000,178000,192000,192000
"Tuscola County, Michigan",145000,160000,178000,192000,192000
"Van Buren County, Michigan",165000,195000,224632,235000,235000
"Washtenaw County, Michigan",255000,277700,295000,320000,320000
"Wayne County, Michigan",181000,193000,216490,229900,229900
"Wexford County, Michigan",145000,160000,178000,192000,192000
"Aitkin County, Minnesota",210000,217000,239900,250000,250000
"Anoka County, Minnesota",269500,287000,321000,350000,350000
"Becker County, Minnesota",230000,240000,274900,292500,292500
"Beltrami County, Minnesota",187000,195500,218250,230000,230000
"Benton County, Minnesota",189000,203000,225000,245000,245000
"Big Stone County, Minnesota",164900,178900,203000,219500,219500
"Blue Earth County, Minnesota",205000,217000,235000,255000,255000
"Brown County, Minnesota",164900,178900,203000,219500,219500
"Carlton County, Minnesota",170000,185000,206669,226000,226000
"Carver County, Minnesota",300000,326250,369000,414808.5,414808.5
"Cass County, Minnesota",235000,250000,303000,310000,310000
"Chippewa County, Minnesota",164900,178900,203000,219500,219500
"Chisago County, Minnesota",269500,287000,321000,350000,350000
"Clay County, Minnesota",234264,239261,255000,286803.5,286803.5
"Clearwater County, Minnesota",164900,178900,203000,219500,219500
"Cook County, Minnesota",248250,265000,284782.5938,299000,299000
"Cottonwood County, Minnesota",164900,178900,203000,219500,219500
"Crow Wing County, Minnesota",220000,238000,285000,280000,280000
"Dakota County, Minnesota",288660,309500,347000,383907.5,383907.5
"Dodge County, Minnesota",225000,248500,270000,300000,300000
"Douglas County, Minnesota",232250,246750,275000,289450,289450
"Faribault County, Minnesota",164900,178900,203000,219500,219500
"Fillmore County, Minnesota",164900,178900,203000,219500,219500
"Freeborn County, Minnesota",164900,178900,203000,219500,219500
"Goodhue County, Minnesota",216650,225000,240000,279900,279900
"Grant County, Minnesota",164900,178900,203000,219500,219500
